complaint_id,customer_id,order_id,complaint_type,channel,severity,created_at,status,resolution_days,compensation_amount
CP0291,C0515,O00588,SupportExperience,Phone,Medium,11/06/2024 11:49,AwaitingCustomer,7,20.04
CP0292,C0187,O00765,MissedPickup,Phone,Low,21/07/2024 3:25,Open,11,15.26
CP0293,C0449,O00202,DriverBehaviour,Phone,Medium,02/02/2024 1:04,Resolved,3,28
CP0294,C0339,O00089,AppIssue,Phone,High,30/04/2025 18:23,Open,19,39.64
CP0295,C0182,O01107,Billing,Email,Medium,30/01/2024 7:32,Open,1,4.94
CP0296,C0243,O00041,MissedPickup,Phone,Medium,17/09/2024 13:42,Resolved,1,6.59
CP0297,C0571,O00776,Delay,App,Low,07/03/2025 0:53,Resolved,6,5.67
CP0298,C0285,O00483,Delay,App,Medium,19/11/2024 0:34,Escalated,1,16.85
CP0299,C0178,O00326,Delay,App,High,15/11/2024 9:05,Open,11,18.405
CP0300,C0408,O00553,SupportExperience,Phone,Low,15/01/2024 20:55,Open,14,4.56
CP0301,C0023,O00414,DriverBehaviour,Phone,Medium,05/04/2025 20:30,Resolved,4,16.83
CP0302,C0372,O00373,MissedPickup,Chatbot,High,03/06/2024 20:00,Resolved,8,37.07
CP0303,C0294,O00872,MissedPickup,App,Low,11/11/2024 11:01,Open,9,15.19
CP0304,C0178,O00455,Delay,Phone,Medium,14/08/2024 2:36,Open,7,20.69
CP0305,C0226,O01015,DriverBehaviour,Chatbot,High,08/08/2025 21:14,Resolved,11,37.25
CP0306,C0004,O00081,Damage,App,High,26/04/2025 12:53,Resolved,21,35.58
CP0307,C0248,O00900,DriverBehaviour,Chatbot,Medium,20/09/2024 0:05,Resolved,4,18.405
CP0308,C0597,O00865,DriverBehaviour,Phone,High,28/03/2024 0:53,Resolved,13,37.97
CP0309,C0175,O01106,Damage,Email,High,01/03/2024 0:14,Resolved,7,57.63
CP0310,C0421,O00219,DriverBehaviour,Phone,High,08/06/2024 23:42,Resolved,13,45.71
CP0311,C0636,O00894,DriverBehaviour,App,High,15/01/2024 22:16,Resolved,19,18.405
CP0312,C0026,O00341,Delay,App,Medium,23/12/2024 20:58,Open,12,19.78
CP0313,C0028,O00290,Delay,Chatbot,Low,27/09/2024 22:30,Resolved,2,8.86
CP0314,C0378,O00443,SupportExperience,App,Low,28/10/2025 0:06,Resolved,6,4.67
CP0315,C0517,O00645,MissedPickup,Chatbot,High,28/12/2024 21:06,Resolved,14,58.16
CP0316,C0454,O00055,MissedPickup,Phone,Medium,05/06/2025 23:44,Resolved,7,12.97
CP0317,C0631,O00406,DriverBehaviour,Chatbot,Medium,17/01/2025 13:07,Resolved,6,26.52
CP0318,C0056,O00628,Delay,App,Medium,02/11/2024 10:05,Open,5,20.42
CP0319,C0325,O00167,Delay,Email,Medium,27/04/2024 20:46,Resolved,2,11.9
CP0320,C0207,O01179,MissedPickup,Email,Medium,16/10/2025 18:48,Resolved,1,1.97
